Aadhar Number/Unique ID,Name,Age,Annual Income (INR),Vehicle Ownership,Interest in EVs,Preferred Features,Financing Options,Region,Gender
413000000000,shivani,40,962038,0,Low,Affordable Price,Low Interest,Region-97,Male
802000000000,isha,58,332121,0,Low,Affordable Price,No Down Payment,Region-14,Female
236000000000,smt shyani devi,39,949303,1,High,Fast Charging,Flexible EMI,Region-85,Female
449000000000,divya,51,1813071,1,High,Fast Charging,Low Interest,Region-86,Female
307000000000,mansi,32,1324583,1,High,Long Range,Low Interest,Region-5,Male
157000000000,mazida,27,1751470,1,Medium,Luxury Features,Low Interest,Region-54,Male
485000000000,pooja,32,1348120,1,High,Long Range,Low Interest,Region-53,Male
195000000000,kajal,59,1517280,1,High,Long Range,Low Interest,Region-37,Female
320000000000,meena,46,1394811,0,Low,Environment Friendly,Flexible EMI,Region-96,Female
185000000000,sonam,74,1481296,0,High,Long Range,Flexible EMI,Region-57,Male
130000000000,buity,40,1691933,1,High,Long Range,Low Interest,Region-3,Female
258000000000,hina,34,807438,1,Medium,Luxury Features,Flexible EMI,Region-77,Male
753000000000,shakshi sagar,26,781517,2,Low,Long Range,No Down Payment,Region-11,Male
582000000000,pooja,67,840777,1,High,Luxury Features,Flexible EMI,Region-42,Female
880000000000,anita,53,1223322,1,High,Luxury Features,No Down Payment,Region-55,Female
63628969306,neetu,26,1718910,1,Medium,Long Range,Flexible EMI,Region-38,Female
508000000000,anshu d/o,33,686757,0,Medium,Luxury Features,No Down Payment,Region-24,Female
977000000000,kanika kathuria,53,726365,0,Low,Fast Charging,No Down Payment,Region-9,Female
624000000000,manju,65,1244816,0,High,Fast Charging,Low Interest,Region-13,Female
343000000000,shakshi,68,1778916,0,Medium,Luxury Features,Flexible EMI,Region-86,Female
251000000000,anita,50,1977086,1,Medium,Fast Charging,Low Interest,Region-18,Male
658000000000,reena,72,301316,1,Low,Environment Friendly,No Down Payment,Region-10,Male
902000000000,neha,48,1288494,1,Medium,Affordable Price,Flexible EMI,Region-12,Male
503000000000,khushboo,23,360046,1,Medium,Fast Charging,Flexible EMI,Region-94,Female
861000000000,aasmin,27,1165075,0,High,Long Range,Low Interest,Region-47,Female
567000000000,jyoti,33,1287114,1,High,Fast Charging,Flexible EMI,Region-83,Male
201000000000,riya masi,21,415594,1,Medium,Environment Friendly,Flexible EMI,Region-83,Male
250000000000,rekha,71,1936906,2,High,Environment Friendly,Flexible EMI,Region-10,Male
495000000000,leela with a child,39,1323429,2,Medium,Environment Friendly,No Down Payment,Region-1,Male
112000000000,isha,30,808566,1,High,Fast Charging,Low Interest,Region-57,Male
117000000000,gulshan,33,952583,1,Low,Affordable Price,No Down Payment,Region-71,Female
938000000000,priya jain,69,978462,0,High,Long Range,Low Interest,Region-11,Female
281000000000,pooja,46,1463006,0,Medium,Affordable Price,No Down Payment,Region-53,Female
808000000000,rakhi @payal,23,1062318,2,Medium,Fast Charging,No Down Payment,Region-4,Male
616000000000,versha,43,1736502,1,High,Affordable Price,No Down Payment,Region-100,Female
777000000000,sunita,28,1249461,1,High,Luxury Features,No Down Payment,Region-61,Female
133000000000,nitu kumari,41,706088,2,Low,Long Range,Low Interest,Region-85,Male
995000000000,vandana,46,874382,1,High,Luxury Features,Flexible EMI,Region-86,Male
250000000000,roshni,20,1134151,0,High,Luxury Features,Low Interest,Region-10,Male
546000000000,parveen,69,1993967,0,High,Affordable Price,Flexible EMI,Region-87,Male
635000000000,versa,27,953114,0,Medium,Luxury Features,Low Interest,Region-5,Male
635000000000,kavita,18,1136910,1,High,Long Range,Low Interest,Region-61,Male
892000000000,pooja,69,1053523,1,Low,Luxury Features,Low Interest,Region-76,Male
43486693495,sarojani,60,343677,2,Low,Fast Charging,Low Interest,Region-30,Female
341000000000,nagina,43,1884448,1,Low,Long Range,No Down Payment,Region-57,Male
783000000000,tapas das,29,564250,0,High,Fast Charging,Low Interest,Region-33,Male
663000000000,priyanka,31,706885,0,Low,Fast Charging,Low Interest,Region-37,Female
522000000000,santna,42,812703,1,Medium,Environment Friendly,Flexible EMI,Region-82,Male
16309848422,khushbu,25,1373799,2,Low,Environment Friendly,No Down Payment,Region-68,Female
403000000000,pooja,60,753882,0,Medium,Fast Charging,No Down Payment,Region-91,Male
764000000000,any bobby,21,761235,2,High,Luxury Features,Low Interest,Region-23,Male
799000000000,deeya kumari,45,1803377,1,Low,Fast Charging,Low Interest,Region-70,Female
441000000000,anjali juneja,24,720698,0,Medium,Fast Charging,No Down Payment,Region-7,Male
934000000000,anjali @ babli,27,1146801,2,Low,Environment Friendly,No Down Payment,Region-19,Female
695000000000,champa karketta,68,989503,0,High,Affordable Price,Low Interest,Region-15,Female
436000000000,anshu,74,1085977,1,Low,Affordable Price,Low Interest,Region-86,Male
29981511235,monika,53,1503888,0,High,Affordable Price,Low Interest,Region-32,Female
842000000000,rimmi singh,19,572159,2,High,Fast Charging,Flexible EMI,Region-79,Male
729000000000,aanamika misra,43,1168596,2,Medium,Fast Charging,No Down Payment,Region-59,Female
517000000000,chahat,70,351500,2,Medium,Luxury Features,Flexible EMI,Region-70,Male
793000000000,manju,67,1150357,0,Medium,Environment Friendly,No Down Payment,Region-70,Male
677000000000,nagma khatoon,31,1701699,0,Medium,Fast Charging,No Down Payment,Region-6,Male
408000000000,pooja,33,524045,1,High,Long Range,No Down Payment,Region-76,Female
522000000000,sonam,71,1004991,0,Medium,Long Range,No Down Payment,Region-66,Female
426000000000,koshal,60,1293694,1,High,Environment Friendly,No Down Payment,Region-89,Male
471000000000,laxmi devi w/o late sh hukan chand,59,482159,1,Medium,Long Range,Low Interest,Region-4,Female
923000000000,sandhya,34,510861,0,High,Long Range,Flexible EMI,Region-70,Male
958000000000,poonam,63,1141341,1,High,Environment Friendly,Flexible EMI,Region-57,Male
531000000000,sna,39,589741,2,Low,Fast Charging,No Down Payment,Region-61,Female
77940733284,nikita senger,21,524376,3,High,Fast Charging,Flexible EMI,Region-56,Female
149000000000,layba noor,36,1938487,1,Medium,Luxury Features,Flexible EMI,Region-14,Male
285000000000,iqra,19,702648,1,High,Fast Charging,Low Interest,Region-83,Male
946000000000,salima,56,1422876,0,High,Long Range,No Down Payment,Region-7,Male
209000000000,naziya siddiqui,26,1865485,0,Medium,Long Range,Low Interest,Region-54,Female
517000000000,priti,36,1178269,1,Medium,Luxury Features,Flexible EMI,Region-82,Female
597000000000,kamni,33,349314,3,Medium,Environment Friendly,No Down Payment,Region-58,Male
653000000000,sandhya,71,1318448,0,Low,Long Range,No Down Payment,Region-61,Female
588000000000,renu @ rinki,42,1914829,0,Low,Fast Charging,No Down Payment,Region-72,Female
803000000000,priya,65,1183881,0,Low,Fast Charging,No Down Payment,Region-28,Male
540000000000,pooja,35,1678677,0,Medium,Fast Charging,No Down Payment,Region-85,Male
647000000000,minakchi,40,1785507,0,Medium,Long Range,No Down Payment,Region-55,Male
594000000000,ruby,70,1533098,1,Medium,Affordable Price,Low Interest,Region-99,Female
908000000000,smt.farhana baigum,38,1303566,1,Medium,Long Range,Low Interest,Region-74,Female
836000000000,sheetal,28,1541550,0,Medium,Long Range,Flexible EMI,Region-53,Male
822000000000,kalyani patro,56,590461,0,High,Affordable Price,No Down Payment,Region-92,Male
902000000000,anjali,58,1729911,1,High,Affordable Price,No Down Payment,Region-83,Female
389000000000,priyanka,21,628897,1,High,Fast Charging,Low Interest,Region-44,Male
810000000000,palak @ simran,42,597386,0,High,Fast Charging,Flexible EMI,Region-99,Female
497000000000,babita,49,1480577,2,High,Fast Charging,Flexible EMI,Region-28,Male
167000000000,gurdeep kaur,47,668406,1,Medium,Long Range,No Down Payment,Region-46,Female
